-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  50.1215   Longitude 22.0097 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M,RH2M,PS,WS50M,WS10M,WS50M_RANGE,WS10M_RANGE,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
50.12151,22.00971,2015,02,02,    5.39,   -3.18,   -2.76,   91.63,   96.89,    2.74,    1.83,    4.69,    2.84,-999,              1.76
50.12151,22.00971,2015,02,03,    7.12,   -3.63,   -3.23,   89.56,   97.58,    5.62,    3.68,    3.22,    1.54,-999,              1.39
50.12151,22.00971,2015,02,04,    7.82,   -4.83,   -4.43,   90.97,   98.27,    4.04,    2.72,    4.26,    2.43,              1.92,              1.76
50.12151,22.00971,2015,02,05,    7.64,   -3.95,   -3.34,   87.05,   99.24,    5.33,    3.29,    2.51,    1.53,              1.97,              1.96
50.12151,22.00971,2015,02,06,    6.93,   -4.13,   -3.88,   80.04,   99.74,    7.16,    4.98,    3.76,    4.26,-999,              0.66
50.12151,22.00971,2015,02,07,    8.31,   -4.97,   -4.70,   85.85,   99.14,    7.58,    5.71,    7.15,    6.32,-999,              1.38
50.12151,22.00971,2015,02,08,    5.34,   -2.72,   -2.41,   87.37,   97.75,   10.06,    7.49,    3.76,    3.34,-999,              1.59
50.12151,22.00971,2015,02,09,    6.58,   -4.84,   -4.68,   91.44,   98.40,    7.15,    5.06,    4.03,    4.07,-999,              1.28
50.12151,22.00971,2015,02,10,    6.29,   -2.42,   -1.66,   91.17,   99.24,    3.27,    1.96,    3.83,    1.67,-999,              1.12
50.12151,22.00971,2015,02,11,    5.06,   -1.67,   -0.35,   92.55,   99.80,    3.57,    2.15,    5.75,    2.84,-999,              0.88
50.12151,22.00971,2015,02,12,    7.48,   -2.02,   -1.26,   92.66,   99.96,    4.51,    3.02,    4.14,    2.44,-999,              0.99
